"","name","Sample","Group"
"1","F55_A1Lisat_Plaquetes","A1","NaCl"
"2","F56_A1Lisat_Plaquetes","A1","NaCl"
"3","F57_A2Lisat_Plaquetes","A2","NaCl"
"4","F58_A2Lisat_Plaquetes","A2","NaCl"
"5","F59_A3Lisat_Plaquetes","A3","NaCl"
"6","F60_A3Lisat_Plaquetes","A3","NaCl"
"7","F61_A1Lisat_Plaquetes","A1","NaCl"
"8","F62_A1Lisat_Plaquetes","A1","NaCl"
"9","F63_A1Lisat_Plaquetes","A1","NaCl"
"10","F64_A1Lisat_Plaquetes","A1","NaCl"
"11","F65_A2Lisat_Plaquetes","A2","NaCl"
"12","F66_A2Lisat_Plaquetes","A2","NaCl"
"13","F67_A2Lisat_Plaquetes","A2","NaCl"
"14","F68_A2Lisat_Plaquetes","A2","NaCl"
"15","F69_A3Lisat_Plaquetes","A3","NaCl"
"16","F70_A3Lisat_Plaquetes","A3","NaCl"
"17","F71_A3Lisat_Plaquetes","A3","NaCl"
"18","F72_A3Lisat_Plaquetes","A3","NaCl"
"19","F73_C1plasma_PRP","C1","PRP"
"20","F74_C1plasma_PRP","C1","PRP"
"21","F75_C1plasma_PRP","C1","PRP"
"22","F76_C1plasma_PRP","C1","PRP"
"23","F77_C2plasma_PRP","C2","PRP"
"24","F78_C2plasma_PRP","C2","PRP"
"25","F79_C2plasma_PRP","C2","PRP"
"26","F80_C2plasma_PRP","C2","PRP"
"27","F81_C3plasma_PRP","C3","PRP"
"28","F82_C3plasma_PRP","C3","PRP"
